geocode,value
E14001062,3.77
W07000041,0.98
W07000042,2.48
W07000043,5.33
W07000044,6.86
W07000045,3.46
W07000046,2.61
W07000047,24.64
W07000048,16.5
W07000049,3.75
W07000050,52.49
W07000051,20.67
W07000052,6.97
W07000053,6.93
W07000054,1.01
W07000055,6.36
W07000056,8.85
W07000057,1.48
W07000058,0.94
W07000059,0.8
W07000060,3.29
W07000061,0.29
W07000062,1.15
W07000063,0.29
W07000064,0.42
W07000065,0.65
W07000066,0.76
W07000067,0.46
W07000068,0.23
W07000069,2.78
W07000070,3.78
W07000071,4.64
W07000072,6.42
W07000073,9.43
W07000074,3.68
W07000075,7.66
W07000076,7.59
W07000077,6.73
W07000078,3.1
W07000079,17.87
W07000080,23.44
